input,label
several cranial nerves innervate structures of the tongue,False
is porto rico a part of the united states,True
is there sales tax in the state of washington,True
has anyone scored 6 goals in one game,True
can puppies see right when their eyes open,True
is the sears tower the same as the hancock building,False
is tokyo ghoul re related to tokyo ghoul,True
do texas state troopers have to wear hats,True
is vaping illegal if you are under 18,True
is wheat flour and white flour the same thing,False
do they find the body in stand by me,True
did the english win the hundred years war,False
is ferguson jenkins in the hall of fame,True
are family dollar and dollar general the same company,False
is station 19 a grey's anatomy spin off,True
are tomatoes a member of the nightshade family,True
is dollar tree the same as dollar general,False
does the cat in the hat have a name,False
the movie rudy based on a true story,True
is the movie the wall a true story,False
is it legal to carry a gun in nyc,True
the former soviet union broke into separate states,True
does hot and sour soup have a lot of sodium,True
would a person sink in a corn silo,True
paths from the cerebral cortex to the spinal cord are called the corticospinal tracts,True
do you have to bounce the ball in afl,True
is a denatured protein still able to function,False
is the movie the mountain between us based on a real story,False
do you have to pay taxes in the united states,True
are the marines part of the us navy,True
does liquid coffee mate have to be refrigerated,True
will there be a uk general election in 2018,False
can i use dexron iii for dexron ii,True
can i own a handgun in the uk,False
can you have two jobs in south africa,True
are long term capital gains taxed at a lower rate,True
does oregon have the stand your ground law,False
are pumas cougars and mountain lions the same animal,True
is popeye the sailor man a disney character,False
has tom hanks ever won an academy award,True
is jim hart in the hall of fame,True
do you need a gun license to buy a gun in nj,True
is it legal to drink in public in london,True
do you have to register to vote in america,True
are chess pie and buttermilk pie the same,False
true or false anaphylaxis generally only affects the skin and eyes,False
do you need to fast for random glucose test,False
is there going to be a season 4 of the border,False
does the nissan rogue have all wheel drive,False
is fear the walking dead set before the walking dead,True
do new zealand and australia have the same flag,False
did austria qualify for the world cup 2018,True
is carrie underwood in the movie soul surfer,True
is there a difference between saline and lactated ringer's,True
is one flew over the cuckoo's nest a true story,False
do you put water in a fog machine,True
when sandy hit nj was it a hurricane,False
is there an age limit to run for congress,True
during his lifetime an athenian citizen could serve on the council of five hundred,True
was call me by your name a book,True
has england won any world cup in cricket,False
is watcher in the woods a disney movie,True
do supreme court judges get secret service protection,False
was the movie dunkirk based on a book,False
does a jury have to be unanimous uk,False
is national guard boot camp the same as army,True
do dogwood trees grow in the middle east,False
is there such a thing as a coywolf,True
are doc martens still made in the uk,True
would hydrogen chloride be a gas at room temperature,True
is it possible to build an alcohol tolerance,True
do blue jays take over other birds nests,True
is the olympic torch always lit in greece,True
is canada in the 2018 soccer world cup,False
can cradle cap make baby hair fall out,True
is king louie in the jungle book book,False
does drake in my feelings have a video,True
can goalie pick up ball from throw in,False
is the cecil hotel still open in los angeles,True
is a birth certificate a valid form of id,False
is there a town named keister in the united states,True
do the individual parallel lines in a parallel circuit have different currents flowing through them,False
is the orientation of a protein sequence important for the protein function,True
is dc legends of tomorrow based on a comic,False
is bok choy the same as pak choi,True
do guinea pigs come from papua new guinea,False
is trelane a member of the q continuum,True
did thomas jefferson wrote the declaration of independence when he was president,False
was season 8 of vampire diaries the last,True
is antioch ca part of the bay area,True
is st. patricks day always on march 17,True
is there a national bring your dog to work day,True
does the iphone 8 plus have touch id,True
is there a fourth book of magnus chase,False
can you buy beer on sunday in new york,True
is there going to be a my little pony season 8,True
does a goal from a throw in count,False
the visual cliff is a device for studying,True
is it possible to download all of wikipedia,True
the long road home is it a series,True
do you need to put return address on mail,False
is guillain barre syndrome a lower motor neuron disease,True
is there a second season of iron fist,True
is himalaya the highest mountain in the world,False
is a 1-888 number toll free,True
is the graviton part of the standard model,False
is st david's day a bank holiday in wales,False
are the normal force and force of gravity always equal,False
does the mail run on memorial day weekend,False
is season 7 of ahs the last season,False
can you get drafted out of high school into the nba,False
did dan stevens do the singing in beauty and the beast,True
does penalty shoot out goals count for golden boot,False
is haroun and the sea of stories a children's book,True
can you play original xbox games on a 360,True
does the honda insight need to be plugged in,False
is big little lies just a mini series,False
is taylor still on the bold and beautiful,True
can you have a skunk as a pet in canada,True
can you marry your sister in the uk,False
is there going to be a season 2 of jamestown,True
does the united kingdom have an official language,False
did the dad die in the good dinosaur,True
is blue cross the same as blue shield,True
is mall of asia the biggest mall in asia,False
is 44 rem mag the same as 44 mag,True
can a person die from too much water,True
does canada's worst driver lose their license,False
will there be a 13th season of criminal minds,True
are family dollar and dollar general owned by the same company,True
can you drink in the street in glasgow,False
is cheaper by the dozen a true story,True
is there such thing as a 100 pound note,True
can you inhale alcohol vapors and get drunk,True
is daylight savings time all over the world,False
is polygamy legal in any state in the united states,False
can u really hear the ocean in a shell,False
is sweet italian sausage the same as mild,False
will there be a season 3 of too close to home,False
is the medal of honor the highest honor,True
can i be sacked for falling asleep at work,True
can you buy a car in wisconsin on sunday,False
is electrode potential the same as reduction potential,True
did north korea compete in the 2018 olympics,True
was mercury used as a cure for syphilis,True
can a member of congress be removed from office,True
is london the capital of the united kingdom,True
did they actually go to hawaii in everything everything,True
can u die for drinking too much water,True
can you still win both showcases on price is right,True
is a circle the same as a sphere,False
is sperm concentration the same as sperm count,True
did ward and june cleaver sleep in the same bed,False
is canada the only country with maple trees,False
were the bodies of operation red wings recovered,True
is it normal for guys to dribble after peeing,True
can you have more than one wife in the usa,False
has there ever been a female thunderbird pilot,True
is a bba the same as a bs,False
do you need intent to commit a crime,True
is the top thrill dragster the tallest roller coaster,False
is the red cross part of the un,False
did wales ever qualify for the world cup,True
is beauty and the beast still on broadway,False
does marvel own the rights to fantastic four,True
will there be a second series of the coroner,False
is it legal to turn right on red in california,True
does bree van de kamp go to jail,False
do penalties after extra time count towards golden boot,False
is there really such a thing as a broken heart,True
if a table contains a primary key there can be no duplicate records in a table,False
have the arkansas razorbacks ever won a national championship in football,True
do litigants on people's court get paid,True
is zip code the same as post code,True
did we leave the lunar rover on the moon,True
is it legal to drink beer while driving in texas,False
does blow drying your hair kill lice eggs,True
was the movie the guardian based on a true story,False
did lebanon ever qualify for the world cup,False
is monaco a country in its own right,True
is the movie the mission based on a true story,True
do you have to win a tennis set by 2,True
did china ever qualify for fifa world cup,True
are england in the world cup semi finals,True
are green beans the same as french beans,True
does all of japan have the same time zone,True
is spiderman homecoming a sequel to the amazing spider man,False
does the entire blastocyst develop into a fetus,False
can someone be both left and right handed,True
is there a season 4 of phryne fisher,False
can you go out with a wild card in uno,True
can a us citizen hold a foreign title,True
can a social security number have 8 digits,False
has anyone won all four grand slam in one year,True
can you download itv hub on xbox 360,True
does a trapezoid have one set of parallel lines,True
does prime minister have to be an mp,False
can i use my veteran id to get on base,False
is it illegal to be in possession of alcohol under 21,True
is the 2017 chevy cruze front wheel drive,True
can there be a beach on a lake,True
does puerto rico have to follow us laws,True
does every us citizen have a social security number,False
can anything be faster than the speed of light,False
is there going to be a mr robot season 4,True
is it possible for an element to have different types of atoms,True
is a cougar and a mountain lion the same thing,True
does jimmy o die in sons of anarchy,True
is triamcinolone acetonide cream used to treat poison ivy,True
will an xbox 360 game work on an xbox one,True
is there such thing as a jack rabbit,True
are they coming out with a new tinkerbell movie,False
are cash money and money mart the same company,False
is it ok to eat cooking apples raw,True
does the texas flag fly at the same height as the american flag,False
is it ordinary time in the catholic church,True
does borderlands 2 handsome collection have all dlc,True
is there going to be a season 3 of project runway junior,True
is transit aba number the same as routing number,True
is hashtag the same as the number sign,True
does the f train stop at queens plaza,False
is there a difference between slugs and snails,True
was the french quarter affected by hurricane katrina,False
can one point be in two different planes,True
do professional soccer players play in the olympics,True
is the avengers and avengers assemble the same film,True
is there going to be a season 8 of rules of engagement,False
are liquor stores open on sunday in wv,True
is there still a royal family in spain,True
is the limbic system the oldest part of the brain,True
are target and macy's owned by the same company,False
did bonnie blairs daughter make the olympic team,False
is the baby in fuller house a twin,True
was tom holland in amazing spider man 2,False
is stella the mother on how i met your mother,False
can an aftershock be stronger than an earthquake,False
are there any wild ravens in the uk,True
is a hyundai genesis coupe a sports car,True
does a death certificate have to show cause of death,False
is it legal to carry a gun in new hampshire,True
can you have identical twins that are different genders,False
is there a season 5 for the flash,True
is the girl in the spiders web a sequel to the girl with the dragon tattoo,True
was the movie 300 based on real events,True
is great britain part of the european union,True
can you send an envelope without a return address,True
is there going to be a season 5 of bates motel,True
is canada in the united states of america,False
the main component of stomach acid is sulfuric acid,True
can anyone have an out of body experience,True
is it illegal to hack into someones phone,True
does batman and harley quinn take place in the dcau,True
can a 3 way bulb work in any lamp,True
are hastings direct and hastings premier the same company,True
is the lexus es 350 front wheel drive,True
is there an airport on martha's vineyard,True
were there helicopters in the second world war,True
does the us play in the world cup this year,False
is a money order the same as a postal order,False
does kaori die in your lie in april manga,True
does a macbook air have an ethernet port,False
is cornwall in the south west of england,True
can a man have more than one wife in utah,False
did the lead singer of the who have a stutter,False
does an ace beat a queen in war,True
does the switch come with 1 2 switch,False
does the mom die in the impossible movie,False
can you get aero bars in the us,True
do citizens in puerto rico pay us taxes,True
are green beans the same as string beans,True
of all the points on the production possibilities curve only one point represents an efficient point,False
was the battle of gettysburg the bloodiest battle of the civil war,True
do cows have to stay pregnant to produce milk,False
is methodist the same as church of england,False
do you get paid for being on survivor,True
will there be a second season of fairy tail,True
were all the bodies recovered from operation red wings,True
is ain't a word in the webster dictionary,True
are collard greens the same as turnip greens,False
does dean come back to life in supernatural,True
is there a new robin hood movie coming out,True
did rocky beat apollo creed in rocky 1,False
is rough er part of the endomembrane system,True
is the uk part of the schengen zone,False
are there any mgm casinos in atlantic city,False
cells produce water as a by-product of energy metabolism,True
can the president serve more than two terms,False
is the cardiac sphincter the same as the lower esophageal sphincter,True
is pawn stars filmed in the actual store,True
is tomato puree the same as tomato sauce,False
is tom and jerry in the public domain,True
are the penguins out of the stanley cup,True
are you allowed to carry a knife in canada,False
does eddie murphy really sing party all the time,True
is the cash for clunkers program still active,False
is the united states coast guard part of the military,True
is there a such thing as citizens arrest,True
can you drink alcohol in salt lake city,True
do sharks die if their fins are cut off,True
is hydrated lime the same as calcium hydroxide,True
can a felon own a gun in nj,False
have the buffalo bills ever won a super bowl,False
did dennis quaid play the joker in batman,False
is a sister in law considered immediate family,True
does the empire state building have a 600th floor,False
can the house of representatives impeach a federal judge,True
is saving private ryan based on a book,False
is it illegal to pump and dump stocks,True
did italy qualify for the 2018 fifa world cup,False
can you travel to turkey with a french id card,True
inflation means specific prices are rising and relative prices are falling,False
is a set an element of its power set,True
is mother's day considered a national holiday,True
do i have the right to protect myself,True
do u need a licence for an air rifle in uk,True
did gerry rafferty sing stuck in the middle with you,True
is the movie mighty joe young a true story,False
is new zealand on the other side of the world,True
can work be done in a closed system,True
do the winners of the europa league qualify for the champions league,True
does st louis still have a football team,False
is general law the same as common law,True
are all kershaw knives made in the usa,False
does an inside the park home run count as a home runs,True
do you have to turn right at a red light,False
can substrate level phosphorylation occur in the absence of oxygen,True
does switzerland give a gun to every household,True
are any of the original power rangers in the new movie,True
is a caribou the same thing as a reindeer,True
is the movie se7en based on a book,False
was the declaration of independence before the revolutionary war,False
does puerto rico vote in the us presidential election,False
can you hit the backboard on a free throw,True
is there a jaws ride at universal studios hollywood,False
will there be a new series of the durrells,True
did hurricane audrey create a recorded storm surge,True
is target australia the same as target usa,False
is cash app and square cash the same,True
the system of law in the united states is based on the english common law,True
is the handmaid's tale a hulu original,True
can you wear a polo for business casual,True
is morgan stanley part of jp morgan chase,False
can u play xbox 360 games on an xbox 1,True
do they actually film movies at universal studios,True
is the game go the same as othello,False
is it possible to have an online relationship,True
is the mummy a remake of the mummy,False
india is the first country to reach mars,False
can you fly a flag at half mast,True
can gibraltar coins be used in the uk,False
have the raptors ever made it to the finals,True
did cadburys cream eggs used to be bigger,True
is himalayan pink salt the same as himalayan sea salt,True
are the paralympic games the same as the special olympics world games,False
does christina die in the book of henry,False
are pecans and walnuts in the same family,True
is the princess and the frog a broadway musical,False
are liquor stores open in oklahoma on 4th of july,False
is there such thing as an alligator snapping turtle,True
is there such a thing as a designated survivor,True
can i carry my gun in my car in wisconsin,True
is it possible to have two anxiety disorders,True
does the whole state vote for both senators,True
is the last key the last insidious movie,False
does will gardner die in the good wife,True
is there such a thing as being allergic to water,True
is there a 50 shades of grey 3,True
is kong skull island part of a series,True
is it possible to heat water above its boiling point,True
is there a spin off of grey's anatomy,True
is lake superior the second largest lake in the world,False
does a tornado watch mean there is a tornado,False
can all bay tree leaves be used in cooking,False
does chrysler still make the town & country minivan,False
is the back of the neck an erogenous zone,True
is jersey part of the uk royal mail,False
is the isle of man part of great britain,False
can you see mount whitney from death valley,True
will there be a sequel to the maze runner,True
can you get 2 yahtzees in a game,True
does the constitution state you have the right to remain silent,True
do you have to be 18 to buy airsoft guns,True
is the hundred foot journey based on a book,True
does puerto rico have a representative in congress,False
is west edmonton mall the biggest mall in the world,False
can microbes have symbiotic relationships with other microbes,True
do you have to be an all-star to be in the home run derby,False
did the new jersey plan suggest only one house of congress,True
is birmingham the 2nd largest city in uk,True
is a provisional license the same as a permit,True
can you see alpha centauri without a telescope,True
is the lincoln memorial on the national mall,False
is there going to be a new season of hell's kitchen,True
can you drink when your 18 with your parents in wisconsin,True
is it legal to shoot fireworks in delaware,False
is there a new tv show called the connors,True
is st pancras station the same as kings cross,True
is equatorial guinea and guinea the same country,True
do universal life policies have a cash value,True
can someone born on a military base be president,True
can you checkmate with two bishops and a king,True
can you get a tattoo with an 18 year old,True
are there two versions of ren and stimpy,True
is the federal reserve bank of new york a government agency,True
does the octet rule apply to all elements,False
does canada's prime minister hold a seat in the house of commons,False
do you have to pay to be on judge judy,False
can a runner advance on a dead ball in baseball,False
did over the garden wall win an emmy,True
is ruthie in season 11 of 7th heaven,True
is there a sequel to fantastic beasts and where to find them,True
can you remove venom glands from a snake,True
do they sell beer in grocery stores in new jersey,True
is the fairmont hotel part of a chain,True
did bradley cooper sing in a star is botn,True
is it possible for a triangle to have more than one obtuse angle,False
is one world trade center taller than the empire state building,True
has the us ever gone to the world cup,True
do both feet leave the ground when running,True
is estee lauder and clinique the same company,True
is charlie from charlie and the chocolate factory still alive,True
can you blink one eye at a time,True
is the separation of powers in the australian constitution,False
do you have to have two license plates in ontario,True
are black beans the same as turtle beans,True
is a wooly mammoth the same as a mastodon,False
is carling black label a south african beer,False
were the world trade centers the tallest buildings in america,True
is there still an east and west berlin,False
can i carry a gun in my car south carolina,True
does every player get their name on the stanley cup,False
is stanley cup 2-3-2,False
is it illegal to kill a slow worm,True
is a toyota kluger the same as a highlander,True
has croatia ever won a world cup final,False
is the book of mark in the new testament,True
will there be a third season of bed of roses,True
has any team won the superbowl in their own stadium,False
is there a dunkin donuts in all 50 states,False
sequence occurs when pattern of notes is repeated,True
is vanilla sugar the same as regular sugar,False
is there a sequel to mrs frisby and the rats of nimh,True
can eustachian tube dysfunction cause shortness of breath,False
was the five heartbeats based on a real group,False
have england ever not qualified for the world cup,True
is there going to be a third season of fargo,True
can you play infamous second son on ps3,False
is eddie and the cruisers a real story,False
is mystic pizza based on a true story,False
are they coming out with another underworld movie,True
my mother and other strangers is it a true story,False
do dogs have to have their dew claws removed,False
is pedro from napoleon dynamite in nacho libre,True
can you use chlorine in a saltwater pool,True
will the durells in corfu have a season 3,True
are horses donkeys and zebras the same species,False
egypt is bordered by the red sea and the mediterranean sea,True
was can't stop the feeling written for trolls,True
orange is the new black season 2 does alex come back,True
is it illegal to drink in public in singapore,False
is luis tiant in the hall of fame,True
are the channel islands part of the united kingdom,False
does the stock act apply to the president,True
did they ever find the boat from the perfect storm,False
do you have to be a member at bi mart,True
is godzilla and king kong in the same universe,True
has anyone won the grand slam in golf in one year,True
has tunisia ever been in the world cup,True
was nerve gas used in world war 1,True
is a professional degree higher than a phd,False
did hagrid die in the battle of hogwarts,False
did build a bear go out of business,False
is there a difference between ez pass and express e zpass,True
is the housing choice voucher program the same as section 8,True
is the game of thrones book series over,False
is the us post office a private company,False
has an nba player ever averaged a triple double,True
is there a sequel to the 5th wave,True
is the movie unbreakable based on a true story,False
did the irish fight in the civil war,True
are vidalia onions the same as sweet onions,True
do they celebrate cinco de mayo in canada,True
is anyone from the wizard of oz still alive 2017,True
is the irish pound the same as the british pound,False
is blue bell ice cream only sold in texas,False
was snow white in color when it first came out,True
do you need a gun permit in vermont,False
is duty free and tax free the same thing,False
is mount st helens still an active volcano,True
is there a bronze medal in the world cup,True
are they removing the carving from stone mountain,False
is wally west and bart allen the same person,False
is there going to be a third series of no offence,False
is there a season 2 of wynonna earp,True
when did you have to have a passport to go to canada,True
is fedex part of the us postal service,False
is there a second series of the good karma hospital,True
is quick ratio the same as acid test,True
did the king's speech win any oscars,True
is there more than one john wick movie,True
did the great fire of london destroy st paul's cathedral,True
does new zealand have a capital gains tax,False
can a gas mix into a liquid explain,True
does a sac fly count against your batting average,False
is the magna carta the english bill of rights,False
do you pay both ways on m6 toll,True
is the nasopharynx part of the respiratory system,True
in early 19th century new orleans where was real african music heard in the community,True
does better call saul take place after breaking bad,False
does the same actor play twins on deception,True
is a german shepherd the same as an alsatian,True
have china ever qualified for the world cup,True
are the faroe islands part of the eu,False
is glen cove part of town of oyster bay,True
do all last names in iceland end in son,False
is the netflix marvel shows in the mcu,True
is the domincan republic part of the usa,False
are king kong and godzilla in the same universe,True
does north carolina get a lot of hurricanes,True
can you drop kick a field goal in nfl,True
can i get a public defender for a civil case,True
is a ferret and a weasel the same thing,False
victoria and abdul is it a real story,False
is there a season 2 of hunted on cinemax,False
would a change in price shift the demand curve,False
does north carolina get snow in the winter,True
can you go to court for the same thing twice,False
does the fender hot rod deluxe have an effects loop,True
was the soviet union a member of the axis powers,False
is it legal to count cards in vegas,True
did all of the granite mountain hotshots die,False
has a city ever won all championships in one year,False
can you buy beer on sunday in ok,True
can the president of the philippines be re elected,False
do i need a concealed carry permit in nh,False
is there a difference between 9x19 and 9mm luger,False
did canada ever make it to the world cup,True
is the east coast on daylight savings time,True
is john wick going to be a trilogy,False
did the tomb raider game come out before the movie,True
can you die from getting hit in the heart,True
did the first hot air balloon fly successfully,True
does sweden pay students to go to school,True
can u play playstation 2 games on ps3,True
is australia still part of the british empire,False
minnie driver did she sing in phantom of the opera,False
is the area of zabeel park equal to that of 45 football playgrounds,True
is all of rick and morty season 3 out,True
can you knee a ball back to the goalkeeper,False
is cabo and cabo san lucas the same,True
are all house of representatives up for election at the same time,True
can alkenes have more than one double bond,True
is a section of dna recognized by a restriction endonuclease,True
is there ending credits for the incredibles 2,True
are the muppets the same as sesame street,False
is every strong electrolyte also a strong acid,False
does buffy's mom come back to life,False
do games from xbox 360 work on xbox one,True
was the revolutionary war before the declaration of independence,True
does it cost money to get into canada,True
is po box the same as zip code,False
do you have to be born in queensland to play state of origin,False
is there a bridge from spain to gibraltar,False
is there no speed limit on the autobahn,False
can you buy liquor on sundays in west virginia,True
have the nashville predators won the stanley cup,False
is ihop and applebees owned by the same company,True
is walgreens and cvs owned by the same company,False
is there a season 2 for the punisher,True
can i get into canada with an enhanced id,True
are all the game of thrones books written,False
is the rear differential part of the powertrain,True
did england lose a game in the 1966 world cup,True
is there a season 7 of republic of doyle,False
is les choristes based on a true story,True
did monk ever find out who killed his wife,True
is the letter j in the latin alphabet,True
can a us citizen hold more than one passport,True
did torrey pines park start out as a state reserve,True
was the tv show 9-1-1 cancelled,False
is there going to be a season 13 criminal minds,True
is hawaii and alaska part of the united states,True
is there a relationship between molecular weight and diffusion rate,True
did the voting age used to be 21,True
is stitch the movie the same as lilo and stitch,False
does authentic leadership have deep roots in philosophy,True
are exposure and shutter speed the same thing,True
is being dismissed the same as being fired,True
is star wars the last jedi the last star wars,False
did east germany ever qualify for the world cup,True
did morgan corinthos come back to general hospital,True
is dobby in the goblet of fire movie,False
is there going to be another season of britannia,True
do kurt and blaine get married in season 6,True
is a uterus and a womb the same thing,True
was the hudson river school an actual school,False
is part of niagara falls in new york,True
are there any of the beatles still alive,True
do manta rays have barbs on their tails,False
is season 6 the final season of nashville,True
can you go out on a jack in cribbage,True
will there be a season 2 of constantine,False
is new york life a mutual insurance company,True
is creme de cacao the same as chocolate liqueur,True
does the whistleblower protection act only apply to federal employees,True
does putting a shoe on a horse hurt,False
is it illegal to have a gun in your home,False
is st. patrick's day a holy day,True
is there an nfl team in las vegas,True
is a full moon the same as a new moon,False
is gilley's in pasadena texas still open,True
do betta fish only fight other betta fish,False
is star trek into the darkness a sequel,True
is there a canal from birmingham to london,True
is elena still a vampire in season 6,False
are the british virgin islands part of great britain,True
does anyone have an emmy grammy oscar and tony,True
does president have to be born in usa,True
is demon's souls part of dark souls,True
can i have dual citizenship in new zealand,True
have any teams played each other twice in the world cup,True
will there be a season 6 of once upon a time,True
is walls ice cream and walls sausages the same company,True
is sodium chloride the same as saline water,False
does the mason dixon line run through new jersey,False
is liz from magic school bus a girl,True
does stefan's constant depend upon wavelength of radiation,False
can you see the great wall of china from space wiki,False
is the song drinking problem by midland a remake,False
is a star is born 2018 a remake,True
has el salvador ever been in the world cup,True
are danielle and mike related on american pickers,False
will there be a adventures of tintin 2,True
hurricane season starts in spring true or false,False
did the mayans and aztecs speak the same language,False
can you buy wine in grocery stores in missouri,True
did john williams wrote music for indiana jones,True
is homeland security part of department of defense,False
were the olsen twins in the flintstones movie,False
is nebraska in the middle of the usa,True
is there a movie for anthem by ayn rand,False
is diary of a wimpy kid realistic fiction,True
can you play a zone defense in the nba,True
can you drive with a beer in texas,False
are the baltic countries part of the eu,True
is thursday night football going to be on regular tv,True
did morris brown college get their accreditation back,False
is me before you a nicholas sparks movie,False
is it bad to drain a deep cycle battery,True
the other boleyn girl is it based on a true story,True
does creon want to be king of thebes,False
has there ever been a convention of states,False
the international monetary fund was formed to provide for the short-term flow of money,True
was south africa part of the british commonwealth,True
is there a season 7 of vanderpump rules,False
can you get silk without killing the worm,True
did michael mcdonald sing backup on ride like the wind,True
do i need a license to shoot at a gun range,False
does a fluid ounce of water weigh an ounce,False
do i need to provide id to police,False
is sky movies the same as sky cinema,True
is the first order the same as the empire,True
does the us constitution guarantee separation of church and state,True
are there any dominick's stores still open,False
does dr house die in the last episode,False
has the world cup ever been stolen before,True
is cottage cheese the same as cheese curds,False
can heat energy be converted to electrical energy,True
is hwy 69 part of the trans canada highway,True
will there be a marvel runaways season 2,True
is cow milk the same as breast milk,False
can you score off a kickoff in soccer,True
can a person die from drinking too much water,True
did the berlin wall go all around west berlin,False
is mr stark in captain america related to iron man,True
is the movie the matrix based on a book,False
can there be an economy without economic problem,False
did the movie dolores claiborne win any awards,True
did the cast of full house really go to hawaii,True
are bass pro shops and cabelas owned by the same company,True
do you have to pay for a warning ticket,False
can a world cup final go to penalties,True
in glee season 1 do they win sectionals,True
did the movie papillon win any academy awards,False
is qatar going to be the world cup host,True
has willie robertson from duck dynasty passed away,False
the truth in lending act regulates interest rates and the terms of loans,False
do they end up together in no strings attached,True
is washington dc a state in the united states,False
does a female blackbird have a yellow beak,False
is a stop sign considered a traffic control device,True
is switched at birth based on a real story,True
does alternative minimum tax apply to capital gains,True
is ryne sandberg in the hall of fame,True
is there a season six of once upon a time,True
are they making a season seven of once upon a time,True
are there parables in the gospel of john,False
will breast cyst go away on their own,True
does xbox 360 games play on xbox one,True
does the m train go to broadway junction,False
is mary a witch in mary and the witchs flower,True
are ipv6 unique local unicast addresses routable within and outside an organization,False
are there any hells angels in sons of anarchy,True
is cognitive therapy the same as cognitive behavioural therapy,False
can a catholic receive communion in an episcopal church,False
is need for speed the run open world,True
do any of the originals die in the originals,True
when does ned stark die in the show,True
will there be a 4th hunger games movie,True
was the empire state building the tallest in the world,True
are the words separation of church and state in the constitution,False
is there a second series of pan am,False
is chicago the movie based on a true story,True
does pete's dragon have a happy ending,True
is red lobster and olive garden owned by the same company,False
is alex cross trial part of the series,True
can you be a hypochondriac about mental illness,True
is the riddler and the joker the same character,False
does hit the floor have a new cast,False
the olfactory epithelium lies in a mucous membrane covering the inferior nasal conchae,True
is it illegal to not do jury duty,True
is the optic nerve part of the central nervous system,True
does maurice die in beauty and the beast,False
can you kill lice with a hair dryer,True
does harley davidson have a patent on their sound,False
is there a new series of sherlock holmes,False
has anyone won all 4 tennis majors in one year,True
has croatia ever made it to world cup final,True
does the barb on a stingray grow back,True
were croatia ever in a world cup final,True
has there been a james bond movie since skyfall,True
is the swan and dolphin hotel owned by disney,True
does neil degrasse tyson have a tv show,True
does the mississippi flow into the gulf of mexico,True
nilgiri himalyan and arabian are types of tahr,True
the third amendment protects citizens from having to quarter troops without consent,True
is hamilton nj the same as trenton nj,False
does each person win a car on family feud,False
is palma mallorca and palma majorca the same place,True
is the gulf of california the same as the sea of cortez,True
is there rice grown in the united states,True
is there such a thing as figgy pudding,True
is johnny mize in the hall of fame,True
can a person have both female and male parts,True
is the us virgin islands part of the usa,True
why does italy have both a prime minister and president,True
pir panjal is a part of trans himalaya,True
do chad and romania have the same flag,False
do you use your vocal cords to whisper,False
is ethyl alcohol the same as rubbing alcohol,True
is the blue ridge mountains part of the appalachians,True
do supreme court rulings apply to all states,True
can you define a median for an unordered categorical variable,False
do double barrelled names have to be hyphenated,False
are turkeys and peacocks in the same family,True
has anyone ever survived a commercial plane crash,True
do police cars automatically scan license plates uk,True
are there background checks for guns in america,True
